anno,PROVINCIA,COMUNE,ISTAT_COD,ISTAT_RER,ISTAT_PROV,ISTAT_COM,LATITUDE,LONGITUDE,Abitanti,RD(kg),RI(kg),RU(kg),RD(%),RI(kg/ab),RU(kg/ab)
2010,PC,AGAZZANO,8033001,8,33,1,44.967072,9.502025,2108,466642,765570,1232212,37.9,363,585
2011,PC,AGAZZANO,8033001,8,33,1,44.967072,9.502025,2105,703947,457800,1161747,60.6,217,552
2012,PC,AGAZZANO,8033001,8,33,1,44.967072,9.502025,2095,727472,409010,1136482,64.0,195,542
2013,PC,AGAZZANO,8033001,8,33,1,44.967072,9.502025,2065,766160,368320,1134480,67.5,178,549
2014,PC,AGAZZANO,8033001,8,33,1,44.967072,9.502025,2080,842729,382059,1224788,68.8,184,589
2015,PC,AGAZZANO,8033001,8,33,1,44.967072,9.502025,2098,848772,337860,1186632,71.5,161,566
2016,PC,AGAZZANO,8033001,8,33,1,44.967072,9.502025,2079,904335,364070,1268405,71.3,175,610
2010,PC,ALSENO,8033002,8,33,2,44.887492,9.962509,4897,1915601,1010120,2925721,65.5,206,597
2011,PC,ALSENO,8033002,8,33,2,44.887492,9.962509,4931,1854405,1042380,2896785,64.0,211,587
2012,PC,ALSENO,8033002,8,33,2,44.887492,9.962509,4883,2245111,1068840,3313951,67.7,219,679
2013,PC,ALSENO,8033002,8,33,2,44.887492,9.962509,4840,2100391,1044700,3145091,66.8,216,650
2014,PC,ALSENO,8033002,8,33,2,44.887492,9.962509,4784,2274808,1063965,3338773,68.1,222,698
2015,PC,ALSENO,8033002,8,33,2,44.887492,9.962509,4720,2185625,934320,3119945,70.1,198,661
2016,PC,ALSENO,8033002,8,33,2,44.887492,9.962509,4727,2168846,945550,3114396,69.6,200,659
2010,PC,BESENZONE,8033003,8,33,3,44.973838,9.980199,989,255130,129619,384749,66.3,131,389
2011,PC,BESENZONE,8033003,8,33,3,44.973838,9.980199,977,246458,141760,388218,63.5,145,397
2012,PC,BESENZONE,8033003,8,33,3,44.973838,9.980199,990,338085,102790,440875,76.7,104,445
2013,PC,BESENZONE,8033003,8,33,3,44.973838,9.980199,995,270729,103650,374379,72.3,104,376
2014,PC,BESENZONE,8033003,8,33,3,44.973838,9.980199,1000,313630,114070,427700,73.3,114,428
2015,PC,BESENZONE,8033003,8,33,3,44.973838,9.980199,978,299528,113980,413508,72.4,117,423
2016,PC,BESENZONE,8033003,8,33,3,44.973838,9.980199,981,276431,105130,381561,72.4,107,389
2010,PC,BETTOLA,8033004,8,33,4,44.778703,9.596344,3032,379249,1164300,1543549,24.6,384,509
2011,PC,BETTOLA,8033004,8,33,4,44.778703,9.596344,3006,394053,1102200,1496253,26.3,367,498
2012,PC,BETTOLA,8033004,8,33,4,44.778703,9.596344,2987,393199,1036510,1429709,27.5,347,479
2013,PC,BETTOLA,8033004,8,33,4,44.778703,9.596344,2936,449063,996260,1445323,31.1,339,492
2014,PC,BETTOLA,8033004,8,33,4,44.778703,9.596344,2877,432113,1038330,1470443,29.4,361,511
2015,PC,BETTOLA,8033004,8,33,4,44.778703,9.596344,2826,481812,948780,1430592,33.7,336,506
2016,PC,BETTOLA,8033004,8,33,4,44.778703,9.596344,2790,534833,880668,1415501,37.8,316,507
2010,PC,BOBBIO,8033005,8,33,5,44.792090,9.385826,3737,481653,1989350,2471003,19.5,532,661
2011,PC,BOBBIO,8033005,8,33,5,44.792090,9.385826,3754,551844,1855080,2406924,22.9,494,641
2012,PC,BOBBIO,8033005,8,33,5,44.792090,9.385826,3755,607579,1757720,2365299,25.7,468,630
2013,PC,BOBBIO,8033005,8,33,5,44.792090,9.385826,3696,609971,1706240,2316211,26.3,462,627
2014,PC,BOBBIO,8033005,8,33,5,44.792090,9.385826,3638,556307,1672155,2228462,25.0,460,613
2015,PC,BOBBIO,8033005,8,33,5,44.792090,9.385826,3575,688799,1522668,2211467,31.1,426,619
2016,PC,BOBBIO,8033005,8,33,5,44.792090,9.385826,3572,964485,1211075,2175560,44.3,339,609
2010,PC,BORGONOVO VAL TIDONE,8033006,8,33,6,45.007752,9.462252,7713,2480848,1690510,4171358,59.5,219,541
2011,PC,BORGONOVO VAL TIDONE,8033006,8,33,6,45.007752,9.462252,7811,2371476,1681470,4052946,58.5,215,519
2012,PC,BORGONOVO VAL TIDONE,8033006,8,33,6,45.007752,9.462252,7850,2320391,1599550,3919941,59.2,204,499
2013,PC,BORGONOVO VAL TIDONE,8033006,8,33,6,45.007752,9.462252,7862,2294975,1524520,3819495,60.1,194,486
2014,PC,BORGONOVO VAL TIDONE,8033006,8,33,6,45.007752,9.462252,7887,2464642,1552699,4017341,61.4,197,509
2015,PC,BORGONOVO VAL TIDONE,8033006,8,33,6,45.007752,9.462252,7895,2554925,1497700,4052625,63.0,190,513
2016,PC,BORGONOVO VAL TIDONE,8033006,8,33,6,45.007752,9.462252,7900,2401196,1488330,3889526,61.7,188,492
2010,PC,CADEO,8033007,8,33,7,44.975433,9.850650,6187,2507616,1357260,3864876,64.9,219,625
2011,PC,CADEO,8033007,8,33,7,44.975433,9.850650,6226,2454303,1355660,3809963,64.4,218,612
2012,PC,CADEO,8033007,8,33,7,44.975433,9.850650,6209,2515259,1299530,3814789,65.9,209,614
2013,PC,CADEO,8033007,8,33,7,44.975433,9.850650,6158,2625448,1217620,3843068,68.3,198,624
2014,PC,CADEO,8033007,8,33,7,44.975433,9.850650,6163,2532376,1310513,3842889,65.9,213,624
2015,PC,CADEO,8033007,8,33,7,44.975433,9.850650,6118,2637961,1178230,3816191,69.1,193,624
2016,PC,CADEO,8033007,8,33,7,44.975433,9.850650,6131,2818944,1215330,4034274,69.9,198,658
2010,PC,CALENDASCO,8033008,8,33,8,45.091324,9.608095,2507,965870,517560,1483430,65.1,206,592
2011,PC,CALENDASCO,8033008,8,33,8,45.091324,9.608095,2494,979693,515970,1495663,65.5,207,600
2012,PC,CALENDASCO,8033008,8,33,8,45.091324,9.608095,2515,924781,502880,1427661,64.8,200,568
2013,PC,CALENDASCO,8033008,8,33,8,45.091324,9.608095,2528,948862,525470,1474332,64.4,208,583
2014,PC,CALENDASCO,8033008,8,33,8,45.091324,9.608095,2528,1124202,530080,1654282,68.0,210,654
2015,PC,CALENDASCO,8033008,8,33,8,45.091324,9.608095,2514,1299672,490680,1790352,72.6,195,712
2016,PC,CALENDASCO,8033008,8,33,8,45.091324,9.608095,2478,1697836,472520,2170356,78.2,191,876
2010,PC,CAMINATA,8033009,8,33,9,44.919624,9.299246,283,17235,137840,155075,11.1,487,548
2011,PC,CAMINATA,8033009,8,33,9,44.919624,9.299246,276,17455,130150,147605,11.8,472,535
2012,PC,CAMINATA,8033009,8,33,9,44.919624,9.299246,273,20720,147350,168070,12.3,540,616
2013,PC,CAMINATA,8033009,8,33,9,44.919624,9.299246,270,19940,123240,143180,13.9,456,530
2014,PC,CAMINATA,8033009,8,33,9,44.919624,9.299246,261,25580,129200,154780,16.5,495,593
2015,PC,CAMINATA,8033009,8,33,9,44.919624,9.299246,252,40640,118950,159590,25.5,472,633
2016,PC,CAMINATA,8033009,8,33,9,44.919624,9.299246,250,47900,103710,151610,31.6,415,606
2010,PC,CAORSO,8033010,8,33,10,45.053555,9.855517,4896,1996016,842115,2838131,70.3,172,580
2011,PC,CAORSO,8033010,8,33,10,45.053555,9.855517,4887,1900614,863500,2764114,68.8,177,566
2012,PC,CAORSO,8033010,8,33,10,45.053555,9.855517,4859,1850135,863530,2713665,68.2,178,558
2013,PC,CAORSO,8033010,8,33,10,45.053555,9.855517,4781,1943050,849650,2792700,69.6,178,584
2014,PC,CAORSO,8033010,8,33,10,45.053555,9.855517,4776,2166144,902528,3068672,70.6,189,643
2015,PC,CAORSO,8033010,8,33,10,45.053555,9.855517,4751,2181106,777790,2958896,73.7,164,623
2016,PC,CAORSO,8033010,8,33,10,45.053555,9.855517,4759,2296804,831580,3128384,73.4,175,657
2010,PC,CARPANETO PIACENTINO,8033011,8,33,11,44.898956,9.796824,7681,2724974,1728810,4453784,61.2,225,580
2011,PC,CARPANETO PIACENTINO,8033011,8,33,11,44.898956,9.796824,7676,2721181,1713310,4434491,61.4,223,578
2012,PC,CARPANETO PIACENTINO,8033011,8,33,11,44.898956,9.796824,7637,2629990,1789920,4419910,59.5,234,579
2013,PC,CARPANETO PIACENTINO,8033011,8,33,11,44.898956,9.796824,7674,2744767,1726220,4470987,61.4,225,583
2014,PC,CARPANETO PIACENTINO,8033011,8,33,11,44.898956,9.796824,7670,2721165,1727280,4448445,61.2,225,580
2015,PC,CARPANETO PIACENTINO,8033011,8,33,11,44.898956,9.796824,7718,2913721,1486700,4400421,66.2,193,570
2016,PC,CARPANETO PIACENTINO,8033011,8,33,11,44.898956,9.796824,7720,3067255,1624110,4691365,65.4,210,608
2010,PC,CASTELL'ARQUATO,8033012,8,33,12,44.866168,9.868545,4773,1395339,1882360,3277699,42.6,394,687
2011,PC,CASTELL'ARQUATO,8033012,8,33,12,44.866168,9.868545,4733,1182867,1784460,2967327,39.9,377,627
2012,PC,CASTELL'ARQUATO,8033012,8,33,12,44.866168,9.868545,4741,1147179,1643480,2790659,41.1,347,589
2013,PC,CASTELL'ARQUATO,8033012,8,33,12,44.866168,9.868545,4713,1243097,1766200,3009297,41.3,375,639
2014,PC,CASTELL'ARQUATO,8033012,8,33,12,44.866168,9.868545,4713,1264092,1761841,3025933,41.8,374,642
2015,PC,CASTELL'ARQUATO,8033012,8,33,12,44.866168,9.868545,4718,1867214,884292,2751506,67.9,187,583
2016,PC,CASTELL'ARQUATO,8033012,8,33,12,44.866168,9.868545,4688,1945990,959050,2905040,67.0,205,620
2010,PC,CASTEL SAN GIOVANNI,8033013,8,33,13,45.058304,9.428092,13943,6092545,3974360,10066905,60.5,285,722
2011,PC,CASTEL SAN GIOVANNI,8033013,8,33,13,45.058304,9.428092,13991,6207210,3785440,9992650,62.1,271,714
2012,PC,CASTEL SAN GIOVANNI,8033013,8,33,13,45.058304,9.428092,13871,6291213,3551070,9842283,63.9,256,710
2013,PC,CASTEL SAN GIOVANNI,8033013,8,33,13,45.058304,9.428092,13849,6294421,3588980,9883401,63.7,259,714
2014,PC,CASTEL SAN GIOVANNI,8033013,8,33,13,45.058304,9.428092,13833,6843235,3550807,10394042,65.8,257,751
2015,PC,CASTEL SAN GIOVANNI,8033013,8,33,13,45.058304,9.428092,13748,8384057,2947630,11331687,74.0,214,824
2016,PC,CASTEL SAN GIOVANNI,8033013,8,33,13,45.058304,9.428092,13749,10193329,3045590,13238919,77.0,222,963
2010,PC,CASTELVETRO PIACENTINO,8033014,8,33,14,45.088334,9.991741,5581,2406675,1374250,3780925,63.7,246,677
2011,PC,CASTELVETRO PIACENTINO,8033014,8,33,14,45.088334,9.991741,5610,2339142,1458190,3797332,61.6,260,677
2012,PC,CASTELVETRO PIACENTINO,8033014,8,33,14,45.088334,9.991741,5584,2281886,1329760,3611646,63.2,238,647
2013,PC,CASTELVETRO PIACENTINO,8033014,8,33,14,45.088334,9.991741,5579,2099401,1294910,3394311,61.9,232,608
2014,PC,CASTELVETRO PIACENTINO,8033014,8,33,14,45.088334,9.991741,5517,2345627,1297670,3643297,64.4,235,660
2015,PC,CASTELVETRO PIACENTINO,8033014,8,33,14,45.088334,9.991741,5471,2329348,1246380,3575728,65.1,228,654
2016,PC,CASTELVETRO PIACENTINO,8033014,8,33,14,45.088334,9.991741,5387,2492463,1241250,3733713,66.8,230,693
2010,PC,CERIGNALE,8033015,8,33,15,44.660418,9.360561,170,6100,77750,83850,7.3,457,493
2011,PC,CERIGNALE,8033015,8,33,15,44.660418,9.360561,159,11080,106490,117570,9.4,670,739
2012,PC,CERIGNALE,8033015,8,33,15,44.660418,9.360561,153,8760,97330,106090,8.3,636,693
2013,PC,CERIGNALE,8033015,8,33,15,44.660418,9.360561,153,8950,89220,98170,9.1,583,642
2014,PC,CERIGNALE,8033015,8,33,15,44.660418,9.360561,137,8220,71520,79740,10.3,522,582
2015,PC,CERIGNALE,8033015,8,33,15,44.660418,9.360561,127,7540,71030,78570,9.6,559,619
2016,PC,CERIGNALE,8033015,8,33,15,44.660418,9.360561,128,21090,62990,84080,25.1,492,657
2010,PC,COLI,8033016,8,33,16,44.760475,9.455438,1001,71545,451430,522975,13.7,451,522
2011,PC,COLI,8033016,8,33,16,44.760475,9.455438,979,104810,432040,536850,19.5,441,548
2012,PC,COLI,8033016,8,33,16,44.760475,9.455438,974,122804,462440,585244,21.0,475,601
2013,PC,COLI,8033016,8,33,16,44.760475,9.455438,920,107774,423820,531594,20.3,461,578
2014,PC,COLI,8033016,8,33,16,44.760475,9.455438,895,124609,453100,577709,21.6,506,645
2015,PC,COLI,8033016,8,33,16,44.760475,9.455438,879,121216,388200,509416,23.8,442,580
2016,PC,COLI,8033016,8,33,16,44.760475,9.455438,912,170810,389600,560410,30.5,427,614
2010,PC,CORTE BRUGNATELLA,8033017,8,33,17,44.708181,9.371351,688,30575,399360,429935,7.1,580,625
2011,PC,CORTE BRUGNATELLA,8033017,8,33,17,44.708181,9.371351,668,49725,365010,414735,12.0,546,621
2012,PC,CORTE BRUGNATELLA,8033017,8,33,17,44.708181,9.371351,637,26375,354070,380445,6.9,556,597
2013,PC,CORTE BRUGNATELLA,8033017,8,33,17,44.708181,9.371351,632,30030,356510,386540,7.8,564,612
2014,PC,CORTE BRUGNATELLA,8033017,8,33,17,44.708181,9.371351,610,30696,354550,385246,8.0,581,632
2015,PC,CORTE BRUGNATELLA,8033017,8,33,17,44.708181,9.371351,586,44015,330210,374225,11.8,563,639
2016,PC,CORTE BRUGNATELLA,8033017,8,33,17,44.708181,9.371351,568,20780,330680,351460,5.9,582,619
2010,PC,CORTEMAGGIORE,8033018,8,33,18,45.000102,9.920689,4547,1878211,1005708,2883919,65.1,221,634
2011,PC,CORTEMAGGIORE,8033018,8,33,18,45.000102,9.920689,4595,1861744,1049490,2911234,64.0,228,634
2012,PC,CORTEMAGGIORE,8033018,8,33,18,45.000102,9.920689,4606,1970209,943750,2913959,67.6,205,633
2013,PC,CORTEMAGGIORE,8033018,8,33,18,45.000102,9.920689,4627,1809542,959100,2768642,65.4,207,598
2014,PC,CORTEMAGGIORE,8033018,8,33,18,45.000102,9.920689,4658,1673510,925730,2599240,64.4,199,558
2015,PC,CORTEMAGGIORE,8033018,8,33,18,45.000102,9.920689,4652,1799520,669940,2469460,72.9,144,531
2016,PC,CORTEMAGGIORE,8033018,8,33,18,45.000102,9.920689,4653,2034183,737340,2771523,73.4,158,596
2010,PC,FARINI,8033019,8,33,19,44.701599,9.568942,1489,144040,769610,913650,15.8,517,614
2011,PC,FARINI,8033019,8,33,19,44.701599,9.568942,1477,194157,750740,944897,20.5,508,640
2012,PC,FARINI,8033019,8,33,19,44.701599,9.568942,1423,218300,702220,920520,23.7,493,647
2013,PC,FARINI,8033019,8,33,19,44.701599,9.568942,1370,216280,672820,889100,24.3,491,649
2014,PC,FARINI,8033019,8,33,19,44.701599,9.568942,1340,216755,689432,906187,23.9,515,676
2015,PC,FARINI,8033019,8,33,19,44.701599,9.568942,1292,234745,631850,866595,27.1,489,671
2016,PC,FARINI,8033019,8,33,19,44.701599,9.568942,1243,273551,634910,908461,30.1,511,731
2010,PC,FERRIERE,8033020,8,33,20,44.633169,9.488217,1551,82310,946700,1029010,8.0,610,663
2011,PC,FERRIERE,8033020,8,33,20,44.633169,9.488217,1515,78520,905400,983920,8.0,598,649
2012,PC,FERRIERE,8033020,8,33,20,44.633169,9.488217,1448,66990,879270,946260,7.1,607,653
2013,PC,FERRIERE,8033020,8,33,20,44.633169,9.488217,1351,69830,822690,892520,7.8,609,661
2014,PC,FERRIERE,8033020,8,33,20,44.633169,9.488217,1336,73230,840980,914210,8.0,629,684
2015,PC,FERRIERE,8033020,8,33,20,44.633169,9.488217,1295,172230,725560,897790,19.2,560,693
2016,PC,FERRIERE,8033020,8,33,20,44.633169,9.488217,1270,253350,707850,961200,26.4,557,757
2010,PC,FIORENZUOLA D'ARDA,8033021,8,33,21,44.934025,9.910076,15204,6260072,3130480,9390552,66.7,206,618
2011,PC,FIORENZUOLA D'ARDA,8033021,8,33,21,44.934025,9.910076,15379,5855235,3154960,9010195,65.0,205,586
2012,PC,FIORENZUOLA D'ARDA,8033021,8,33,21,44.934025,9.910076,15502,5653117,3114480,8767597,64.5,201,566
2013,PC,FIORENZUOLA D'ARDA,8033021,8,33,21,44.934025,9.910076,15406,5521796,3145265,8667061,63.7,204,563
2014,PC,FIORENZUOLA D'ARDA,8033021,8,33,21,44.934025,9.910076,15350,5954702,3215969,9170671,64.9,210,597
2015,PC,FIORENZUOLA D'ARDA,8033021,8,33,21,44.934025,9.910076,15308,6255613,2750140,9005753,69.5,180,588
2016,PC,FIORENZUOLA D'ARDA,8033021,8,33,21,44.934025,9.910076,15313,6657261,2831530,9488791,70.2,185,620
2010,PC,GAZZOLA,8033022,8,33,22,44.938853,9.553413,2025,999786,867380,1867166,53.5,428,922
2011,PC,GAZZOLA,8033022,8,33,22,44.938853,9.553413,2030,1226595,525570,1752165,70.0,259,863
2012,PC,GAZZOLA,8033022,8,33,22,44.938853,9.553413,2060,1260861,368470,1629331,77.4,179,791
2013,PC,GAZZOLA,8033022,8,33,22,44.938853,9.553413,2071,1272338,369250,1641588,77.5,178,793
2014,PC,GAZZOLA,8033022,8,33,22,44.938853,9.553413,2083,1271574,353250,1624824,78.3,170,780
2015,PC,GAZZOLA,8033022,8,33,22,44.938853,9.553413,2078,1481485,371120,1852605,80.0,179,892
2016,PC,GAZZOLA,8033022,8,33,22,44.938853,9.553413,2080,1510870,372290,1883160,80.2,179,905
2010,PC,GOSSOLENGO,8033023,8,33,23,44.987515,9.623823,5332,2040420,1053380,3093800,66.0,198,580
2011,PC,GOSSOLENGO,8033023,8,33,23,44.987515,9.623823,5459,2116050,1109230,3225280,65.6,203,591
2012,PC,GOSSOLENGO,8033023,8,33,23,44.987515,9.623823,5523,1964637,1036420,3001057,65.5,188,543
2013,PC,GOSSOLENGO,8033023,8,33,23,44.987515,9.623823,5543,1863776,1010140,2873916,64.9,182,518
2014,PC,GOSSOLENGO,8033023,8,33,23,44.987515,9.623823,5625,1947322,1016227,2963549,65.7,181,527
2015,PC,GOSSOLENGO,8033023,8,33,23,44.987515,9.623823,5646,1898342,960430,2858772,66.4,170,506
2016,PC,GOSSOLENGO,8033023,8,33,23,44.987515,9.623823,5655,1974307,1001880,2976187,66.3,177,526
2010,PC,GRAGNANO TREBBIENSE,8033024,8,33,24,45.009811,9.558742,4394,1788062,897390,2685452,66.6,204,611
2011,PC,GRAGNANO TREBBIENSE,8033024,8,33,24,45.009811,9.558742,4424,1785789,830210,2615999,68.3,188,591
2012,PC,GRAGNANO TREBBIENSE,8033024,8,33,24,45.009811,9.558742,4471,1615041,840500,2455541,65.8,188,549
2013,PC,GRAGNANO TREBBIENSE,8033024,8,33,24,45.009811,9.558742,4521,1725341,819040,2544381,67.8,181,563
2014,PC,GRAGNANO TREBBIENSE,8033024,8,33,24,45.009811,9.558742,4553,1764626,794599,2559225,69.0,175,562
2015,PC,GRAGNANO TREBBIENSE,8033024,8,33,24,45.009811,9.558742,4566,1878543,662630,2541173,73.9,145,557
2016,PC,GRAGNANO TREBBIENSE,8033024,8,33,24,45.009811,9.558742,4602,1732110,659660,2391770,72.4,143,520
2010,PC,GROPPARELLO,8033025,8,33,25,44.816247,9.709555,2475,364059,903270,1267329,28.7,365,512
2011,PC,GROPPARELLO,8033025,8,33,25,44.816247,9.709555,2443,320835,868430,1189265,27.0,355,487
2012,PC,GROPPARELLO,8033025,8,33,25,44.816247,9.709555,2442,291936,820410,1112346,26.2,336,456
2013,PC,GROPPARELLO,8033025,8,33,25,44.816247,9.709555,2358,279540,792110,1071650,26.1,336,454
2014,PC,GROPPARELLO,8033025,8,33,25,44.816247,9.709555,2330,274293,821020,1095313,25.0,352,470
2015,PC,GROPPARELLO,8033025,8,33,25,44.816247,9.709555,2282,367621,753350,1120971,32.8,330,491
2016,PC,GROPPARELLO,8033025,8,33,25,44.816247,9.709555,2269,350525,747550,1098075,31.9,329,484
2010,PC,LUGAGNANO VAL D'ARDA,8033026,8,33,26,44.811825,9.778578,4292,570340,1648655,2218995,25.7,384,517
2011,PC,LUGAGNANO VAL D'ARDA,8033026,8,33,26,44.811825,9.778578,4273,541491,1585440,2126931,25.5,371,498
2012,PC,LUGAGNANO VAL D'ARDA,8033026,8,33,26,44.811825,9.778578,4214,538238,1612870,2151108,25.0,383,510
2013,PC,LUGAGNANO VAL D'ARDA,8033026,8,33,26,44.811825,9.778578,4154,588055,1434545,2022600,29.1,345,487
2014,PC,LUGAGNANO VAL D'ARDA,8033026,8,33,26,44.811825,9.778578,4182,1082541,901140,1983681,54.6,215,474
2015,PC,LUGAGNANO VAL D'ARDA,8033026,8,33,26,44.811825,9.778578,4119,1141617,782390,1924007,59.3,190,467
2016,PC,LUGAGNANO VAL D'ARDA,8033026,8,33,26,44.811825,9.778578,4054,1226330,776920,2003250,61.2,192,494
2010,PC,MONTICELLI D'ONGINA,8033027,8,33,27,45.089480,9.928944,5471,2688519,1070980,3759499,71.5,196,687
2011,PC,MONTICELLI D'ONGINA,8033027,8,33,27,45.089480,9.928944,5449,2375571,1077530,3453101,68.8,198,634
2012,PC,MONTICELLI D'ONGINA,8033027,8,33,27,45.089480,9.928944,5455,2379891,1022070,3401961,70.0,187,624
2013,PC,MONTICELLI D'ONGINA,8033027,8,33,27,45.089480,9.928944,5394,2158551,999690,3158241,68.3,185,586
2014,PC,MONTICELLI D'ONGINA,8033027,8,33,27,45.089480,9.928944,5320,2496396,1011022,3507418,71.2,190,659
2015,PC,MONTICELLI D'ONGINA,8033027,8,33,27,45.089480,9.928944,5321,2703266,828890,3532156,76.5,156,664
2016,PC,MONTICELLI D'ONGINA,8033027,8,33,27,45.089480,9.928944,5292,2541170,824190,3365360,75.5,156,636
2010,PC,MORFASSO,8033028,8,33,28,44.726782,9.721430,1131,128626,520500,649126,19.8,460,574
2011,PC,MORFASSO,8033028,8,33,28,44.726782,9.721430,1099,177329,570540,747869,23.7,519,680
2012,PC,MORFASSO,8033028,8,33,28,44.726782,9.721430,1096,171035,474830,645865,26.5,433,589
2013,PC,MORFASSO,8033028,8,33,28,44.726782,9.721430,1077,132670,492030,624700,21.2,457,580
2014,PC,MORFASSO,8033028,8,33,28,44.726782,9.721430,1050,127898,486470,614368,20.8,463,585
2015,PC,MORFASSO,8033028,8,33,28,44.726782,9.721430,1024,188378,433160,621538,30.3,423,607
2016,PC,MORFASSO,8033028,8,33,28,44.726782,9.721430,1013,206739,464390,671129,30.8,458,663
2010,PC,NIBBIANO,8033029,8,33,29,44.931660,9.343615,2294,536301,1014670,1550971,34.6,442,676
2011,PC,NIBBIANO,8033029,8,33,29,44.931660,9.343615,2266,504325,1057430,1561755,32.3,467,689
2012,PC,NIBBIANO,8033029,8,33,29,44.931660,9.343615,2269,387703,1057730,1445433,26.8,466,637
2013,PC,NIBBIANO,8033029,8,33,29,44.931660,9.343615,2218,370088,1014260,1384348,26.7,457,624
2014,PC,NIBBIANO,8033029,8,33,29,44.931660,9.343615,2222,418427,999090,1417517,29.5,450,638
2015,PC,NIBBIANO,8033029,8,33,29,44.931660,9.343615,2179,599397,926990,1526387,39.3,425,700
2016,PC,NIBBIANO,8033029,8,33,29,44.931660,9.343615,2185,752538,611477,1364015,55.2,280,624
2010,PC,OTTONE,8033030,8,33,30,44.626084,9.301154,601,34510,323410,357920,9.6,538,596
2011,PC,OTTONE,8033030,8,33,30,44.626084,9.301154,574,88837,302520,391357,22.7,527,682
2012,PC,OTTONE,8033030,8,33,30,44.626084,9.301154,559,81141,287180,368321,22.0,514,659
2013,PC,OTTONE,8033030,8,33,30,44.626084,9.301154,549,72845,256370,329215,22.1,467,600
2014,PC,OTTONE,8033030,8,33,30,44.626084,9.301154,541,103200,287240,390440,26.4,531,722
2015,PC,OTTONE,8033030,8,33,30,44.626084,9.301154,516,90530,276440,366970,24.7,536,711
2016,PC,OTTONE,8033030,8,33,30,44.626084,9.301154,516,110466,220260,330726,33.4,427,641
2010,PC,PECORARA,8033031,8,33,31,44.871107,9.375172,806,59975,406190,466165,12.9,504,578
2011,PC,PECORARA,8033031,8,33,31,44.871107,9.375172,809,65730,387690,453420,14.5,479,560
2012,PC,PECORARA,8033031,8,33,31,44.871107,9.375172,784,52905,320590,373495,14.2,409,476
2013,PC,PECORARA,8033031,8,33,31,44.871107,9.375172,771,45980,302960,348940,13.2,393,453
2014,PC,PECORARA,8033031,8,33,31,44.871107,9.375172,743,52352,328120,380472,13.8,442,512
2015,PC,PECORARA,8033031,8,33,31,44.871107,9.375172,732,111410,254680,366090,30.4,348,500
2016,PC,PECORARA,8033031,8,33,31,44.871107,9.375172,717,132261,288470,420731,31.4,402,587
2010,PC,PIACENZA,8033032,8,33,32,45.041379,9.717871,103206,40036293,38980964,79017257,50.7,378,766
2011,PC,PIACENZA,8033032,8,33,32,45.041379,9.717871,103838,41337496,36247302,77584798,53.3,349,747
2012,PC,PIACENZA,8033032,8,33,32,45.041379,9.717871,103610,39828423,32090718,71919141,55.4,310,694
2013,PC,PIACENZA,8033032,8,33,32,45.041379,9.717871,102650,40711528,31820075,72531603,56.1,310,707
2014,PC,PIACENZA,8033032,8,33,32,45.041379,9.717871,102623,41064633,31514251,72578884,56.6,307,707
2015,PC,PIACENZA,8033032,8,33,32,45.041379,9.717871,102490,42812524,31788403,74600927,57.4,310,728
2016,PC,PIACENZA,8033032,8,33,32,45.041379,9.717871,102499,43200635,32746765,75947400,56.9,319,741
2010,PC,PIANELLO VAL TIDONE,8033033,8,33,33,44.925934,9.411260,2296,509870,1192870,1702740,29.9,520,742
2011,PC,PIANELLO VAL TIDONE,8033033,8,33,33,44.925934,9.411260,2311,549010,1204350,1753360,31.3,521,759
2012,PC,PIANELLO VAL TIDONE,8033033,8,33,33,44.925934,9.411260,2285,499911,1168070,1667981,30.0,511,730
2013,PC,PIANELLO VAL TIDONE,8033033,8,33,33,44.925934,9.411260,2291,503849,1190280,1694129,29.7,520,739
2014,PC,PIANELLO VAL TIDONE,8033033,8,33,33,44.925934,9.411260,2235,572857,1188893,1761750,32.5,532,788
2015,PC,PIANELLO VAL TIDONE,8033033,8,33,33,44.925934,9.411260,2203,706245,1007230,1713475,41.2,457,778
2016,PC,PIANELLO VAL TIDONE,8033033,8,33,33,44.925934,9.411260,2218,960360,574262,1534622,62.6,259,692
2010,PC,PIOZZANO,8033034,8,33,34,44.907784,9.463767,646,110866,224450,335316,33.1,347,519
2011,PC,PIOZZANO,8033034,8,33,34,44.907784,9.463767,656,95249,243130,338379,28.1,371,516
2012,PC,PIOZZANO,8033034,8,33,34,44.907784,9.463767,646,96690,222120,318810,30.3,344,494
2013,PC,PIOZZANO,8033034,8,33,34,44.907784,9.463767,656,100460,217110,317570,31.6,331,484
2014,PC,PIOZZANO,8033034,8,33,34,44.907784,9.463767,641,122445,232360,354805,34.5,362,554
2015,PC,PIOZZANO,8033034,8,33,34,44.907784,9.463767,641,138206,200500,338706,40.8,313,528
2016,PC,PIOZZANO,8033034,8,33,34,44.907784,9.463767,626,149845,215820,365665,41.0,345,584
2010,PC,PODENZANO,8033035,8,33,35,44.970400,9.702407,9080,4967252,1713570,6680822,74.4,189,736
2011,PC,PODENZANO,8033035,8,33,35,44.970400,9.702407,9153,4469971,1638840,6108811,73.2,179,667
2012,PC,PODENZANO,8033035,8,33,35,44.970400,9.702407,9167,4537896,1876450,6414346,70.7,205,700
2013,PC,PODENZANO,8033035,8,33,35,44.970400,9.702407,9123,4693175,1923440,6616615,70.9,211,725
