anno,PROVINCIA,COMUNE,ISTAT_COD,ISTAT_RER,ISTAT_PROV,ISTAT_COM,LATITUDE,LONGITUDE,Abitanti,RD(kg),RI(kg),RU(kg),RD(%),RI(kg/ab),RU(kg/ab)
2015,RN,GEMMANO,8099004,8,99,4,43.893177,12.564543,1161,221890,329650,551540,40.2,284,475
2016,RN,GEMMANO,8099004,8,99,4,43.893177,12.564543,1155,179239,310910,490149,36.6,269,424
2010,RN,MISANO ADRIATICO,8099005,8,99,5,43.962732,12.671627,12349,6875097,5758937,12634034,54.4,466,1023
2011,RN,MISANO ADRIATICO,8099005,8,99,5,43.962732,12.671627,12598,7098484,5261430,12359914,57.4,418,981
2012,RN,MISANO ADRIATICO,8099005,8,99,5,43.962732,12.671627,12800,6619353,4899544,11518897,57.5,383,900
2013,RN,MISANO ADRIATICO,8099005,8,99,5,43.962732,12.671627,12841,7085812,4710546,11796358,60.1,367,919
2014,RN,MISANO ADRIATICO,8099005,8,99,5,43.962732,12.671627,12972,7353918,4692168,12046086,61.0,362,929
2015,RN,MISANO ADRIATICO,8099005,8,99,5,43.962732,12.671627,13097,7397287,4786942,12184229,60.7,365,930
2016,RN,MISANO ADRIATICO,8099005,8,99,5,43.962732,12.671627,13286,7633165,4976897,12610062,60.5,375,949
2010,RN,MONDAINO,8099006,8,99,6,43.844408,12.651866,1478,232226,433667,665893,34.9,293,451
2011,RN,MONDAINO,8099006,8,99,6,43.844408,12.651866,1478,219489,423260,642749,34.1,286,435
2012,RN,MONDAINO,8099006,8,99,6,43.844408,12.651866,1467,281518,412440,693958,40.6,281,473
2013,RN,MONDAINO,8099006,8,99,6,43.844408,12.651866,1473,264040,410252,674292,39.2,279,458
2014,RN,MONDAINO,8099006,8,99,6,43.844408,12.651866,1428,287114,379960,667074,43.0,266,467
2015,RN,MONDAINO,8099006,8,99,6,43.844408,12.651866,1394,275979,371700,647679,42.6,267,465
2016,RN,MONDAINO,8099006,8,99,6,43.844408,12.651866,1404,277666,375820,653486,42.5,268,465
2010,RN,MONTE COLOMBO,8099007,8,99,7,43.928251,12.580213,3305,568441,751850,1320291,43.1,227,399
2011,RN,MONTE COLOMBO,8099007,8,99,7,43.928251,12.580213,3443,673557,732290,1405847,47.9,213,408
2012,RN,MONTE COLOMBO,8099007,8,99,7,43.928251,12.580213,3485,775394,711395,1486789,52.2,204,427
2013,RN,MONTE COLOMBO,8099007,8,99,7,43.928251,12.580213,3457,880767,667730,1548497,56.9,193,448
2014,RN,MONTE COLOMBO,8099007,8,99,7,43.928251,12.580213,3459,901423,667400,1568823,57.5,193,454
2015,RN,MONTE COLOMBO,8099007,8,99,7,43.928251,12.580213,3455,683692,739780,1423472,48.0,214,412
2010,RN,MONTEFIORE CONCA,8099008,8,99,8,43.881748,12.616528,2235,340279,402400,742679,45.8,180,332
2011,RN,MONTEFIORE CONCA,8099008,8,99,8,43.881748,12.616528,2253,399086,406360,805446,49.5,180,357
2012,RN,MONTEFIORE CONCA,8099008,8,99,8,43.881748,12.616528,2238,481180,447080,928260,51.8,200,415
2013,RN,MONTEFIORE CONCA,8099008,8,99,8,43.881748,12.616528,2254,412005,450010,862015,47.8,200,382
2014,RN,MONTEFIORE CONCA,8099008,8,99,8,43.881748,12.616528,2279,458193,448670,906863,50.5,197,398
2015,RN,MONTEFIORE CONCA,8099008,8,99,8,43.881748,12.616528,2282,427784,458840,886624,48.2,201,389
2016,RN,MONTEFIORE CONCA,8099008,8,99,8,43.881748,12.616528,2304,441588,494920,936508,47.2,215,406
2010,RN,MONTEGRIDOLFO,8099009,8,99,9,43.866777,12.708415,1044,199606,219660,419266,47.6,210,402
2011,RN,MONTEGRIDOLFO,8099009,8,99,9,43.866777,12.708415,1036,389760,218870,608630,64.0,211,587
2012,RN,MONTEGRIDOLFO,8099009,8,99,9,43.866777,12.708415,1034,517606,227860,745466,69.4,220,721
2013,RN,MONTEGRIDOLFO,8099009,8,99,9,43.866777,12.708415,1035,514480,201190,715670,71.9,194,691
2014,RN,MONTEGRIDOLFO,8099009,8,99,9,43.866777,12.708415,1038,438062,196140,634202,69.1,189,611
2015,RN,MONTEGRIDOLFO,8099009,8,99,9,43.866777,12.708415,1016,290441,202190,492631,59.0,199,485
2016,RN,MONTEGRIDOLFO,8099009,8,99,9,43.866777,12.708415,1007,223305,211660,434965,51.3,210,432
2010,RN,MONTESCUDO,8099010,8,99,10,43.924309,12.532713,3297,745284,549210,1294494,57.6,167,393
2011,RN,MONTESCUDO,8099010,8,99,10,43.924309,12.532713,3357,798740,534640,1333380,59.9,159,397
2012,RN,MONTESCUDO,8099010,8,99,10,43.924309,12.532713,3370,799481,508940,1308421,61.1,151,388
2013,RN,MONTESCUDO,8099010,8,99,10,43.924309,12.532713,3381,835434,480600,1316034,63.5,142,389
2014,RN,MONTESCUDO,8099010,8,99,10,43.924309,12.532713,3345,758615,489270,1247885,60.8,146,373
2015,RN,MONTESCUDO,8099010,8,99,10,43.924309,12.532713,3327,799579,500530,1300109,61.5,150,391
2010,RN,MORCIANO DI ROMAGNA,8099011,8,99,11,43.91361,12.653741,6988,2511906,1157852,3669758,68.4,166,525
2011,RN,MORCIANO DI ROMAGNA,8099011,8,99,11,43.91361,12.653741,7058,2653387,1047612,3700999,71.7,148,524
2012,RN,MORCIANO DI ROMAGNA,8099011,8,99,11,43.91361,12.653741,6993,2557599,1136031,3693630,69.2,162,528
2013,RN,MORCIANO DI ROMAGNA,8099011,8,99,11,43.91361,12.653741,6999,2547027,1192082,3739109,68.1,170,534
2014,RN,MORCIANO DI ROMAGNA,8099011,8,99,11,43.91361,12.653741,7024,2514663,1147275,3661938,68.7,163,521
